Brand,model,Age,kmDriven,Transmission,Owner,FuelType,AskPrice,km_per_year,post_year,post_month
Maruti Suzuki,Ritz,10,9000,Manual,second,Diesel,320000,900,2026,11
Audi,Q5,12,76532,Automatic,second,Diesel,950000,6378,2026,11
Maruti Suzuki,Ritz,12,62000,Manual,first,Diesel,369000,5167,2026,11
Mahindra,Bolero Power Plus,6,20,Automatic,second,Diesel,670000,3,2026,11
BMW,3 Series,14,65000,Automatic,first,Diesel,489000,4643,2026,11
Renault,Triber,2,39000,Automatic,first,Diesel,750000,19500,2026,11
Ford,Endeavour,6,93000,Automatic,first,Diesel,2199000,15500,2026,10
Hyundai,Creta,7,67000,Automatic,first,Petrol,790000,9571,2026,11
BMW,3 Series,11,57000,Automatic,first,Diesel,1200000,5182,2026,11
Audi,Q7,10,45000,Automatic,second,Diesel,1200000,4500,2026,11
Maruti Suzuki,Celerio,8,94000,Automatic,second,Petrol,305000,11750,2026,11
BMW,X3,8,92000,Automatic,second,Diesel,2422500,11500,2026,11
Maruti Suzuki,Celerio,9,71000,Manual,second,Diesel,375000,7889,2026,10
Hyundai,Tucson,7,72431,Automatic,second,Diesel,1049000,10347,2026,11
Mahindra,Scorpio,12,95000,Manual,first,Diesel,545000,7917,2026,11
Toyota,Fortuner,1,19000,Automatic,first,Diesel,2422500,19000,2026,11
Maruti Suzuki,Celerio,9,80000,Manual,second,Petrol,430000,8889,2026,11
Mercedes-Benz,Gl-Class,12,95000,Automatic,second,Diesel,1449000,7917,2026,11
Toyota,Innova Crysta,8,94100,Manual,first,Diesel,1835000,11762,2026,11
Ford,Endeavour,4,90000,Automatic,first,Diesel,2422500,22500,2026,11
Toyota,Fortuner,9,125000,Automatic,first,Diesel,1125000,13889,2026,11
Hyundai,Creta,7,77000,Manual,first,Petrol,770000,11000,2026,10
Mercedes-Benz,Glc Class,7,65000,Automatic,second,Diesel,2422500,9286,2026,11
Tata,Harrier,0,4200,Automatic,first,Diesel,2125000,4200,2026,11
Ford,Fiesta Classic,13,135000,Manual,second,Diesel,225000,10385,2026,11
Hyundai,Verna,16,71000,Manual,second,Petrol,250000,4438,2026,11
Tata,Harrier,2,20000,Automatic,first,Diesel,2150000,10000,2026,11
Mercedes-Benz,Gla Class,7,32600,Automatic,second,Petrol,1750000,4657,2026,11
Mahindra,Scorpio,4,48100,Manual,first,Diesel,1250000,12025,2026,10
Honda,City,11,107565,Manual,second,Petrol,425000,9779,2026,11
Toyota,Fortuner,5,55000,Automatic,second,Diesel,2422500,11000,2026,11
Tata,Nexon,5,74576,Manual,first,Diesel,640000,14915,2026,11
Maruti Suzuki,Ciaz,10,75000,Manual,first,Petrol,475000,7500,2026,11
Maruti Suzuki,Baleno,4,45124,Manual,first,Petrol,650000,11281,2026,11
Hyundai,Elite I20,6,78000,Manual,second,Diesel,625000,13000,2026,11
Toyota,Etios,13,65321,Manual,second,Diesel,219101,5025,2026,11
Isuzu,Mux,5,168500,Automatic,first,Diesel,1535000,27750,2026,11
Honda,Jazz,8,46000,Automatic,second,Petrol,450000,5750,2026,11
Maruti Suzuki,Alto,12,63000,Manual,first,Petrol,199000,5250,2026,11
Maruti Suzuki,Ritz,10,65000,Manual,second,Petrol,275000,6500,2026,11
Maruti Suzuki,Ignis,7,88000,Manual,second,Petrol,410000,12571,2026,11
Audi,A4,9,85000,Automatic,second,Diesel,610000,9444,2026,10
Honda,City,9,71000,Manual,second,Petrol,498000,7889,2026,10
Maruti Suzuki,Grand Vitara,0,1600,Manual,first,Petrol,1350000,1600,2026,11
Maruti Suzuki,Swift,6,65000,Manual,first,Diesel,650000,10833,2026,11
Mahindra,Xuv500,8,81000,Manual,first,Diesel,690000,10125,2026,11
BMW,7 Series,15,40000,Automatic,first,Petrol,1000000,2667,2026,11
Kia,Seltos,4,70000,Automatic,first,Diesel,1550000,17500,2026,11
Mercedes-Benz,V-Class,5,168500,Automatic,first,Diesel,2422500,27750,2026,11
Tata,Safari Storme,7,96000,Manual,second,Diesel,675000,13714,2026,10
Toyota,Fortuner,9,150000,Automatic,second,Diesel,1450000,16667,2026,11
Honda,City,6,82000,Manual,second,Petrol,650000,13667,2026,11
Maruti Suzuki,Swift,7,129000,Manual,first,Diesel,539000,18429,2026,11
Toyota,Fortuner,1,19500,Automatic,second,Diesel,2422500,19500,2026,11
Maruti Suzuki,Alto-K10,12,100000,Manual,second,Petrol,200000,8333,2026,11
Volkswagen,Ventotest,9,104771,Automatic,second,Diesel,450000,11641,2026,11
Tata,Indica Ev2,12,168500,Manual,first,Diesel,85000,15833,2026,11
Tata,Tigor,7,49000,Automatic,second,Petrol,430000,7000,2026,11
Honda,City,7,70000,Manual,second,Petrol,685000,10000,2026,11
Kia,Seltos,3,35213,Automatic,first,Petrol,1095000,11738,2026,10
Mercedes-Benz,E-Class,12,59695,Automatic,second,Diesel,1545000,4975,2026,10
Maruti Suzuki,Swift-Dzire,10,23,Automatic,second,Diesel,375000,2,2026,11
Hyundai,Grand I10,8,45000,Manual,second,Petrol,330000,5625,2026,11
Tata,Nexon,4,30000,Manual,first,Petrol,775000,7500,2026,10
Tata,Nexon,5,31000,Manual,first,Petrol,600000,6200,2026,11
Hyundai,Creta,4,55000,Automatic,second,Petrol,1325000,13750,2026,11
Maruti Suzuki,Ertiga,1,8500,Automatic,first,Petrol,1051000,8500,2026,11
Tata,Safari,11,87312,Manual,first,Diesel,349444,7937,2026,11
Maruti Suzuki,Baleno,6,72000,Automatic,second,Petrol,530000,12000,2026,11
Toyota,Fortuner,14,126000,Manual,first,Diesel,570000,9000,2026,11
Audi,A4,11,55000,Automatic,second,Diesel,785000,5000,2026,11
Toyota,Etios Liva,8,148000,Manual,first,Diesel,549000,18500,2026,11
Toyota,28 Legender 4X2,9,168500,Automatic,second,Diesel,1000000,19478,2026,11
Volkswagen,Crosspolo,10,104600,Manual,second,Diesel,449000,10460,2026,8
Maruti Suzuki,Vitara-Brezza,5,35000,Automatic,second,Diesel,680000,7000,2026,11
MG,Hector Plus,1,27002,Automatic,first,Petrol,2100002,27002,2026,11
Mercedes-Benz,Gl-Class,10,94500,Automatic,second,Diesel,2150000,9450,2026,11
Jaguar,Xf,5,15000,Automatic,second,Diesel,2422500,3000,2026,11
Maruti Suzuki,Swift,8,1,Manual,first,Petrol,510000,0,2026,11
Maruti Suzuki,Baleno,8,90000,Manual,second,Diesel,500000,11250,2026,11
Maruti Suzuki,Swift-Dzire,7,42000,Manual,second,Petrol,490000,6000,2026,11
Hyundai,Santro Xing,15,36200,Manual,first,Petrol,91500,2413,2026,11
Toyota,Innova Crysta,6,98000,Automatic,second,Diesel,1650000,16333,2026,11
Toyota,Innova Crysta,2,21000,Automatic,first,Diesel,2422500,10500,2026,11
BMW,X1,7,39000,Automatic,second,Diesel,2399999,5571,2026,11
BMW,X3,12,168500,Automatic,second,Diesel,1975000,27750,2026,11
Kia,Seltos,4,34000,Manual,first,Diesel,1075000,8500,2026,10
Maruti Suzuki,Wagon-R,15,18000,Manual,second,Petrol,135000,1200,2026,11
Toyota,Innova Crysta,4,33000,Manual,second,Diesel,1250000,8250,2026,11
Tata,Harrier,3,29336,Manual,first,Diesel,2185000,9779,2026,11
Mahindra,Bolero Neo,1,69000,Manual,first,Diesel,1000000,27750,2026,11
Honda,Jazz,13,90000,Manual,second,Petrol,199000,6923,2026,11
Maruti Suzuki,Swift-Dzire,10,53000,Manual,first,Diesel,285000,5300,2026,11
Maruti Suzuki,Swift-Dzire,7,155000,Manual,second,Diesel,550000,22143,2026,11
Tata,Harrier,2,48000,Automatic,first,Diesel,2099999,24000,2026,11
Skoda,Kushaq,0,13000,Automatic,first,Petrol,1475000,13000,2026,11
Maruti Suzuki,Celerio-X,6,67452,Automatic,first,Petrol,385000,11242,2026,11
Mini,Cooper S,7,22000,Automatic,second,Petrol,2422500,3143,2026,11
Maruti Suzuki,Ertiga,8,145000,Automatic,second,Diesel,650000,18125,2026,11
BMW,X7,2,29000,Automatic,first,Diesel,2422500,14500,2026,11
Tata,Manza,13,150000,Manual,first,Diesel,149000,11538,2026,11
Kia,Seltos,5,54500,Automatic,first,Diesel,1590000,10900,2026,11
BMW,5 Series,6,168500,Automatic,first,Diesel,2422500,27750,2026,11
Volkswagen,Polo,11,75000,Automatic,second,Petrol,470000,6818,2026,11
Honda,Amaze,5,45000,Automatic,first,Petrol,649999,9000,2026,11
Jeep,Compass,3,78000,Automatic,first,Diesel,1550000,26000,2026,11
BMW,5 Series,8,47000,Automatic,second,Diesel,2422500,5875,2026,11
Toyota,Innova,12,144600,Manual,second,Diesel,650000,12050,2026,11
Mercedes-Benz,C-Class,6,51000,Automatic,second,Diesel,2422500,8500,2026,11
Toyota,Innova,9,168500,Manual,second,Diesel,920000,21000,2026,11
Audi,A6,7,58000,Automatic,first,Petrol,2422500,8286,2026,11
Mahindra,Bolero Power Plus,11,168500,Automatic,first,Diesel,325000,15818,2026,11
Skoda,Rapid,11,65000,Automatic,second,Petrol,315000,5909,2026,11
Toyota,Land Cruiser,1,150000,Automatic,first,Diesel,2422500,27750,2026,11
Toyota,Corolla,10,65000,Manual,first,Petrol,160000,6500,2026,11
Maruti Suzuki,Alto-800,6,22000,Manual,first,Petrol,290000,3667,2026,11
Hyundai,Verna,11,72000,Automatic,second,Diesel,485000,6545,2026,11
Tata,Nano,9,47000,Automatic,second,Petrol,265000,5222,2026,11
Volkswagen,Ventotest,6,126000,Manual,first,Diesel,570000,21000,2026,11
Hyundai,Verna,9,125350,Manual,second,Diesel,650000,13928,2026,11
Renault,Duster,4,23000,Automatic,first,Petrol,599000,5750,2026,11
Honda,City,7,120000,Manual,second,Diesel,690000,17143,2026,11
Audi,Q5,10,50000,Automatic,second,Diesel,2150000,5000,2026,11
Maruti Suzuki,Ignis,6,31000,Manual,first,Petrol,419000,5167,2026,11
BMW,3 Series Gt,9,61000,Automatic,second,Diesel,1500000,6778,2026,11
Tata,Indica,10,69000,Manual,first,Diesel,250000,6900,2026,11
Toyota,Fortuner,9,154000,Automatic,second,Diesel,1875000,17111,2026,11
Maruti Suzuki,Swift,4,45000,Manual,first,Petrol,525000,11250,2026,11
Nissan,Micra Primo,5,56000,Manual,second,Petrol,450000,11200,2026,11
Toyota,Fortuner,10,86000,Automatic,second,Diesel,1325000,8600,2026,10
Hyundai,Verna,8,49000,Manual,second,Diesel,495000,6125,2026,10
Hyundai,Verna,4,58000,Manual,second,Petrol,950000,14500,2026,11
Maruti Suzuki,Maruti-Suzuki-Dzire,7,87000,Manual,first,Petrol,460000,12429,2026,11
Mahindra,Xuv500,11,49200,Manual,first,Diesel,550000,4473,2026,11
BMW,X5,3,21000,Automatic,first,Petrol,2422500,7000,2026,11
Toyota,Camry,1,10000,Automatic,first,Petrol,2422500,10000,2026,11
Toyota,Innova,18,168500,Manual,second,Diesel,270000,9444,2026,11
Renault,Duster,8,63000,Manual,second,Diesel,415000,7875,2026,11
Mercedes-Benz,Gla Class,7,32600,Automatic,second,Petrol,1750000,4657,2026,11
Maruti Suzuki,Ritz,9,31000,Manual,second,Petrol,465000,3444,2026,11
Maruti Suzuki,Ignis,6,168500,Automatic,first,Diesel,565000,27750,2026,11
Maruti Suzuki,Vitara-Brezza,7,42000,Manual,first,Diesel,849999,6000,2026,11
Tata,Indigo Cs,12,100000,Manual,second,Diesel,125000,8333,2026,11
Chevrolet,Tavera,16,168500,Manual,second,Diesel,225000,14375,2026,11
Honda,Wrv,3,72000,Manual,first,Diesel,725000,24000,2026,11
BMW,X1,12,70000,Automatic,first,Diesel,1100000,5833,2026,11
Maruti Suzuki,Wagon-R,12,152643,Manual,first,Petrol,175000,12720,2026,11
Maruti Suzuki,Wagon-R,17,75000,Manual,second,Petrol,165000,4412,2026,11
Maruti Suzuki,Swift-Dzire,14,78000,Manual,second,Petrol,190000,5571,2026,11
Hyundai,I20,8,95000,Manual,second,Diesel,490000,11875,2026,11
Maruti Suzuki,Swift,1,11000,Automatic,first,Petrol,815000,11000,2026,11
Maruti Suzuki,S-Cross1,3,35000,Manual,first,Petrol,750000,11667,2026,11
Hyundai,Santa Fe,10,61000,Automatic,first,Diesel,499000,6100,2026,11
Volvo,S60 Cross Country,6,85000,Automatic,second,Diesel,2200000,14167,2026,11
Ford,Ecosport,6,32000,Manual,first,Diesel,865000,5333,2026,11
Skoda,Slavia,2,40400,Automatic,first,Petrol,1451000,20200,2026,11
Maruti Suzuki,Swift,9,168500,Manual,second,Diesel,465000,27750,2026,11
Tata,Punch,2,7200,Manual,first,Petrol,2422500,3600,2026,11
Maruti Suzuki,1000,4,49000,Manual,second,Diesel,390000,12250,2026,11
Hyundai,Elite I20,7,71000,Manual,second,Petrol,499000,10143,2026,11
BMW,3 Series,12,69000,Automatic,second,Diesel,649000,5750,2026,11
Honda,City,13,110000,Manual,first,Petrol,320000,8462,2026,11
Jaguar,Xj,9,92000,Automatic,second,Diesel,1450000,10222,2026,11
Skoda,Kushaq,2,39500,Automatic,first,Petrol,1290000,19750,2026,11
Mercedes-Benz,S-Class,8,168500,Automatic,second,Petrol,2422500,27750,2026,11
Hyundai,I10,11,99000,Manual,second,Petrol,255000,9000,2026,11
Maruti Suzuki,Alto K10,6,105000,Automatic,second,Petrol,375000,17500,2026,11
Tata,Nexon,5,120000,Manual,first,Diesel,640000,24000,2026,11
Mini,Cooper Countryman,9,72000,Automatic,second,Petrol,1475000,8000,2026,11
Maruti Suzuki,Fronx,1,13000,Automatic,first,Petrol,920000,13000,2026,11
Mahindra,Thar,3,45000,Manual,first,Petrol,1370000,15000,2026,11
Toyota,Fortuner,10,168000,Automatic,first,Diesel,1340000,16800,2026,11
Hyundai,I20,6,53000,Manual,second,Petrol,499000,8833,2026,10
Maruti Suzuki,Celerio,7,44000,Automatic,second,Petrol,425000,6286,2026,11
Mercedes-Benz,C-Class,11,89000,Automatic,second,Diesel,899000,8091,2026,11
Audi,Q7,12,87000,Automatic,second,Diesel,1050000,7250,2026,11
Maruti Suzuki,S-Cross1,6,27800,Automatic,first,Diesel,849000,4633,2026,10
Maruti Suzuki,Maruti-Suzuki-Dzire,7,62000,Automatic,first,Petrol,535000,8857,2026,9
BMW,5 Series,8,47000,Automatic,second,Diesel,2422500,5875,2026,11
Honda,City Zx,20,160000,Manual,second,Petrol,124000,8000,2026,11
Maruti Suzuki,Vitara-Brezza,8,93000,Manual,first,Diesel,685000,11625,2026,11
Honda,City,3,37000,Automatic,first,Petrol,1150000,12333,2026,11
Volkswagen,Polo,9,65000,Manual,first,Petrol,375000,7222,2026,11
Hyundai,I10,11,51000,Manual,second,Petrol,250000,4636,2026,9
Maruti Suzuki,Alto-K10,10,98000,Manual,second,Petrol,245000,9800,2026,11
MG,Hector,4,65000,Automatic,first,Petrol,1375000,16250,2026,11
Mercedes-Benz,Gl-Class,12,95000,Automatic,second,Diesel,1449000,7917,2026,11
Tata,Hexa,6,112000,Manual,second,Diesel,799000,18667,2026,11
Hyundai,Creta,7,168500,Automatic,first,Diesel,850000,27750,2026,11
Audi,Q7,12,87000,Automatic,second,Diesel,1050000,7250,2026,11
Skoda,Rapid,8,120000,Automatic,first,Diesel,590000,15000,2026,11
Hyundai,Creta,7,69000,Automatic,second,Petrol,785000,9857,2026,11
Maruti Suzuki,Wagon-R,8,79000,Manual,first,Petrol,380000,9875,2026,11
Maruti Suzuki,Ertiga,8,63000,Manual,second,Diesel,675000,7875,2026,11
Mercedes-Benz,C-Class,9,68000,Automatic,second,Petrol,1699000,7556,2026,11
BMW,3 Series Gt,8,75000,Automatic,second,Diesel,1795000,9375,2026,11
Toyota,Urban Cruiser,3,9110,Automatic,first,Petrol,895000,3037,2026,11
MG,Astor,1,24000,Automatic,first,Petrol,1640000,24000,2026,11
Kia,Seltos,5,71000,Manual,first,Diesel,1215000,14200,2026,11
Hyundai,Creta,3,41000,Manual,first,Petrol,1050000,13667,2026,11
Maruti Suzuki,Grand Vitara,1,35000,Manual,first,Petrol,1275000,27750,2026,11
Maruti Suzuki,Baleno,3,38000,Manual,first,Petrol,750000,12667,2026,11
Volkswagen,Polo,7,60000,Manual,first,Petrol,665000,8571,2026,10
Kia,Seltos,4,16000,Automatic,first,Petrol,1385000,4000,2026,11
Tata,Nexon,6,168500,Automatic,second,Petrol,675000,27750,2026,11
Maruti Suzuki,Swift-Dzire,9,74000,Manual,second,Diesel,390000,8222,2026,11
Maruti Suzuki,Baleno,2,168500,Manual,first,Petrol,640000,27750,2026,8
Honda,Mobilio,10,48000,Manual,second,Petrol,470000,4800,2026,11
Maruti Suzuki,Baleno,6,110000,Manual,first,Petrol,585000,18333,2026,11
MG,Hector,4,40000,Automatic,first,Petrol,1321111,10000,2026,11
Mercedes-Benz,E-Class,5,168500,Automatic,first,Diesel,2422500,27750,2026,11
Hyundai,Creta,9,75000,Automatic,second,Diesel,595000,8333,2026,11
Toyota,Innova,10,130000,Manual,first,Diesel,1360000,13000,2026,11
Maruti Suzuki,Swift,1,30,Manual,first,Petrol,760000,30,2026,11
Mercedes-Benz,Glc,4,69000,Automatic,first,Diesel,2422500,17250,2026,11
Hyundai,Elantra,5,62000,Manual,second,Diesel,910000,12400,2026,11
Audi,A6,1,11000,Automatic,first,Petrol,2422500,11000,2026,11
Hyundai,I10,17,82000,Manual,second,Petrol,150000,4824,2026,11
Chevrolet,Beat,11,112000,Manual,first,Diesel,185000,10182,2026,11
Hyundai,Verna,5,168500,Manual,first,Petrol,850000,27750,2026,11
Hyundai,Creta,1,11000,Manual,first,Petrol,1340000,11000,2026,11
Mahindra,Xuv500,9,68000,Manual,first,Diesel,745000,7556,2026,11
Hyundai,New I20,0,3500,Manual,first,Petrol,820000,3500,2026,11
Kia,Seltos,4,68000,Manual,first,Diesel,1040000,17000,2026,11
Mercedes-Benz,Gla Class,7,32600,Automatic,second,Petrol,1750000,4657,2026,11
Hyundai,Venue,5,42000,Manual,first,Diesel,900000,8400,2026,11
Maruti Suzuki,Wagon-R,5,52468,Manual,first,Petrol,435000,10494,2026,11
Volkswagen,Virtus,2,140000,Automatic,first,Petrol,1740000,27750,2026,11
Land Rover,Range Rover Evoque,6,73182,Automatic,first,Diesel,2422500,12197,2026,10
Hyundai,Santro,22,150000,Manual,second,Petrol,110000,6818,2026,11
Maruti Suzuki,Alto,17,22,Manual,second,Petrol,75000,1,2026,11
Hyundai,I10,15,112000,Manual,second,Petrol,150000,7467,2026,11
Hyundai,Elantra,7,160000,Automatic,second,Petrol,1050000,22857,2026,11
Hyundai,Fluidic Verna,12,85000,Manual,second,Petrol,290000,7083,2026,11
Maruti Suzuki,Swift,8,60000,Manual,first,Petrol,359000,7500,2026,11
Toyota,Etios Liva,7,45669,Manual,second,Petrol,590000,6524,2026,10
Chevrolet,Cruze,13,62000,Manual,first,Diesel,195000,4769,2026,11
Tata,Nexon,5,39000,Manual,first,Diesel,675000,7800,2026,11
Kia,Seltos,1,12000,Automatic,first,Petrol,1625000,12000,2026,11
Honda,Amaze,7,110000,Manual,second,Petrol,420000,15714,2026,11
Maruti Suzuki,Wagon-R,10,80000,Manual,first,Petrol,310000,8000,2026,11
Toyota,Innova,13,125000,Manual,second,Diesel,650000,9615,2026,11
Toyota,Innova,12,168500,Manual,second,Diesel,775000,27750,2026,11
Toyota,Innova Crysta,8,110000,Automatic,second,Diesel,1560000,13750,2026,11
Kia,Sonet,3,34000,Automatic,first,Diesel,1295000,11333,2026,11
Volvo,S60,12,84000,Automatic,first,Diesel,760000,7000,2026,11
MG,Hector,3,24745,Automatic,second,Petrol,1430000,8248,2026,10
MG,Hector,4,168500,Automatic,first,Petrol,1350000,27750,2026,11
Toyota,Innova,10,168500,Manual,second,Diesel,1080000,25000,2026,11
Hyundai,Creta,7,86000,Manual,second,Diesel,650000,12286,2026,11
Porsche,Cayenne,8,80400,Automatic,second,Diesel,2422500,10050,2026,11
Tata,Safari Storme,7,75000,Manual,first,Diesel,670000,10714,2026,11
Audi,Q7,12,75000,Automatic,first,Diesel,1175000,6250,2026,11
Maruti Suzuki,Grand Vitara,0,1600,Manual,first,Petrol,1350000,1600,2026,11
Maruti Suzuki,Swift-Dzire,7,78000,Manual,first,Diesel,750000,11143,2026,11
Toyota,Fortuner,1,168500,Automatic,first,Diesel,2422500,27750,2026,11
Land Rover,Range Rover Sport,9,64000,Automatic,second,Diesel,2422500,7111,2026,11
Hyundai,Verna,5,79146,Automatic,second,Petrol,965000,15829,2026,10
Honda,Crv,9,168500,Automatic,second,Petrol,850000,19444,2026,11
Maruti Suzuki,Ertiga,5,47110,Manual,second,Petrol,769000,9422,2026,11
Maruti Suzuki,Swift,6,29000,Automatic,first,Petrol,549000,4833,2026,11
Maruti Suzuki,Wagon-R,6,18052,Manual,second,Petrol,371000,3009,2026,11
Porsche,Macan,3,39000,Automatic,second,Petrol,2422500,13000,2026,10
Hyundai,Grand I10,9,89000,Manual,second,Diesel,300000,9889,2026,11
Maruti Suzuki,Wagon-R,4,26600,Automatic,first,Petrol,550000,6650,2026,11
Maruti Suzuki,Swift-Dzire,8,83316,Manual,second,Diesel,535000,10414,2026,11
Maruti Suzuki,Omni,15,95000,Manual,second,Petrol,135000,6333,2026,11
BMW,X1,12,134000,Automatic,second,Diesel,749000,11167,2026,11
Honda,City,15,94000,Automatic,first,Petrol,235000,6267,2026,11
Honda,City Zx,20,120000,Automatic,second,Petrol,230000,6000,2026,11
Tata,Indigo Ecs,11,93000,Manual,second,Diesel,140000,8455,2026,11
Mahindra,Xuv500,7,27000,Manual,first,Diesel,1350000,3857,2026,11
Mahindra,Scorpio,4,34000,Manual,first,Diesel,1399000,8500,2026,11
Mercedes-Benz,C-Class,8,66000,Automatic,second,Diesel,1900000,8250,2026,11
Mercedes-Benz,S-Class,11,49000,Automatic,second,Petrol,1950000,4455,2026,9
Hyundai,Elite I20,4,40000,Manual,second,Petrol,550000,10000,2026,11
Mercedes-Benz,C-Class,12,76294,Automatic,first,Petrol,1180000,6358,2026,10
Mercedes-Benz,E-Class,14,85000,Automatic,second,Petrol,599000,6071,2026,11
Hyundai,Creta,3,38000,Manual,first,Diesel,1249000,12667,2026,11
Mahindra,Bolero,2,56800,Manual,first,Diesel,838000,27750,2026,11
Kia,Seltos,3,95000,Manual,second,Diesel,1350000,27750,2026,11
Maruti Suzuki,Ertiga,5,15000,Automatic,second,Petrol,1055000,3000,2026,11
Volkswagen,Tiguan,6,52000,Automatic,first,Diesel,1915000,8667,2026,11
Mahindra,Verito,13,168500,Manual,second,Diesel,199000,13846,2026,11
Maruti Suzuki,Zen-Estilo,21,100000,Manual,second,Petrol,100000,4762,2026,11
Volkswagen,Ameo,5,168500,Manual,second,Diesel,525000,27750,2026,11
Mahindra,Kuv 100,8,90000,Manual,second,Petrol,380000,11250,2026,11
Honda,City,9,70000,Automatic,first,Petrol,575000,7778,2026,11
Toyota,Innova Crysta,5,168500,Automatic,first,Diesel,1580000,27750,2026,11
Mercedes-Benz,M-Class,12,125000,Automatic,second,Diesel,915000,10417,2026,10
Jaguar,Xf,11,50000,Automatic,second,Diesel,1150000,4545,2026,11
Jeep,Compass,2,21000,Automatic,first,Diesel,2422500,10500,2026,11
Tata,Nexon,2,20000,Automatic,second,Diesel,1000000,10000,2026,11
Ford,Ecosport,6,75000,Automatic,first,Petrol,640000,12500,2026,11
Hyundai,Creta,7,160000,Automatic,second,Petrol,799000,22857,2026,11
Ford,Ecosport,4,94000,Manual,first,Diesel,1049000,23500,2026,11
Honda,City Zx,12,62000,Manual,second,Petrol,320000,5167,2026,11
Toyota,Fortuner,2,27000,Automatic,first,Diesel,2422500,13500,2026,11
Hyundai,Creta,6,82000,Automatic,first,Diesel,795000,13667,2026,11
Tata,Nexon,5,34000,Automatic,first,Petrol,875000,6800,2026,11
Honda,Brio,10,68569,Automatic,first,Petrol,325000,6857,2026,10
Toyota,Fortuner,9,168500,Automatic,first,Diesel,1050000,27556,2026,11
Toyota,Innova,12,168500,Manual,second,Diesel,799999,27750,2026,11
Mahindra,Scorpio,9,88000,Manual,second,Diesel,1150000,9778,2026,8
Hyundai,Elantra,6,90000,Manual,second,Diesel,900000,15000,2026,11
Maruti Suzuki,Swift-Dzire,9,63000,Manual,first,Diesel,435000,7000,2026,11
Honda,Wr-V,6,168500,Manual,first,Diesel,751000,27750,2026,11
Mercedes-Benz,C-Class,10,96000,Automatic,second,Diesel,850000,9600,2026,11
Maruti Suzuki,Zen-Estilo,14,86000,Manual,second,Petrol,125000,6143,2026,11
Renault,Duster,4,23000,Automatic,first,Petrol,599000,5750,2026,11
Mahindra,Xuv500,5,120000,Manual,first,Diesel,995000,24000,2026,11
Tata,Safari Storme,9,82000,Manual,first,Diesel,499000,9111,2026,11
Hyundai,Verna,14,80000,Manual,second,Diesel,199000,5714,2026,11
Tata,Nexon,4,168500,Manual,first,Diesel,895000,27750,2026,11
Skoda,Laura,13,153226,Automatic,second,Diesel,400000,11787,2026,11
Hyundai,New I20,1,46000,Manual,first,Petrol,725000,27750,2026,11
Maruti Suzuki,800,27,28000,Manual,first,Petrol,60000,1037,2026,11
Kia,Seltos,2,79000,Automatic,second,Diesel,1650000,27750,2026,11
Land Rover,Range Rover Velar,3,32422,Automatic,second,Petrol,2422500,10807,2026,11
Maruti Suzuki,Alto-800,8,26000,Manual,second,Petrol,275000,3250,2026,11
BMW,X1,4,29600,Automatic,first,Petrol,2422500,7400,2026,10
Maruti Suzuki,Alto-800,16,88000,Manual,second,Petrol,160000,5500,2026,11
Tata,Tiago,7,80000,Manual,second,Petrol,325000,11429,2026,11
Toyota,Innova Crysta,7,168500,Manual,first,Diesel,1445000,25286,2026,11
Maruti Suzuki,Swift,4,168500,Manual,first,Petrol,655000,27750,2026,11
Renault,Duster,5,58000,Manual,first,Diesel,650000,11600,2026,10
Maruti Suzuki,Wagon-R,10,62000,Manual,second,Diesel,250000,6200,2026,11
Honda,Wrv,5,120000,Manual,second,Diesel,725000,24000,2026,11
Mercedes-Benz,Gl-Class,11,92203,Automatic,second,Diesel,2422500,8382,2026,11
BMW,3 Series Gt,9,61000,Automatic,second,Diesel,1500000,6778,2026,11
Volkswagen,Jetta,12,88049,Manual,second,Diesel,599999,7337,2026,11
Renault,Kwid,9,63000,Manual,second,Petrol,199999,7000,2026,11
Toyota,Innova,11,168500,Manual,second,Diesel,875000,16364,2026,11
Mahindra,Xuv500,8,96000,Manual,first,Diesel,750000,12000,2026,11
Tata,Nano,14,50000,Manual,second,Petrol,49000,3571,2026,11
BMW,3 Series Gt,9,61000,Automatic,second,Diesel,1500000,6778,2026,11
Chevrolet,Cruze,11,90000,Automatic,first,Diesel,440000,8182,2026,11
Mitsubishi,Pajero Sport,12,90000,Manual,second,Diesel,799999,7500,2026,11
Audi,Q7,10,45000,Automatic,second,Diesel,1200000,4500,2026,11
Hyundai,Santro Xing,17,69000,Manual,second,Petrol,148000,4059,2026,11
Volkswagen,Polo,9,168500,Manual,second,Diesel,585000,27750,2026,11
Maruti Suzuki,Wagon-R-1-0,17,168500,Manual,second,Petrol,150000,11882,2026,11
Mahindra,Thar,3,20000,Manual,first,Diesel,1199000,6667,2026,11
Maruti Suzuki,A-Star,13,50600,Automatic,second,Petrol,290000,3892,2026,11
BMW,X1,7,65000,Automatic,second,Diesel,1450000,9286,2026,10
Mahindra,Xuv500,12,75000,Manual,second,Diesel,450000,6250,2026,11
Renault,Kwid,7,168500,Automatic,second,Petrol,390000,27750,2026,11
Volkswagen,Polo,8,68500,Automatic,second,Petrol,651000,8562,2026,11
Hyundai,Xcent,5,168500,Manual,first,Petrol,490000,27750,2026,11
Mahindra,Scorpio N,8,55000,Automatic,first,Diesel,695000,6875,2026,11
Maruti Suzuki,S-Cross,7,113000,Manual,second,Diesel,595000,16143,2026,11
