Brand,model,Age,kmDriven,Transmission,Owner,FuelType,AskPrice,km_per_year,post_year,post_month
Ford,Ecosport,8,130000,Manual,second,Diesel,400000,16250,2026,11
Mercedes-Benz,Glc Coupe,2,20000,Automatic,first,Diesel,2422500,10000,2026,11
Mahindra,Scorpio-N,1,15905,Automatic,first,Diesel,2350000,15905,2026,11
Toyota,Innova Crysta,3,21000,Manual,first,Diesel,2125000,7000,2026,11
Mini,Cooper 3 Door,5,13000,Automatic,first,Petrol,2422500,2600,2026,11
Maruti Suzuki,Ertiga,9,75000,Manual,first,Diesel,435000,8333,2026,11
Volkswagen,Polo,12,80000,Manual,second,Diesel,300000,6667,2026,11
Maruti Suzuki,Wagon-R,8,50000,Manual,first,Petrol,245000,6250,2026,9
Tata,Nexon,2,40000,Automatic,second,Petrol,680000,20000,2026,11
Maruti Suzuki,Ritz,11,87000,Manual,first,Diesel,385000,7909,2026,10
Toyota,Etios,9,155000,Manual,second,Diesel,589000,17222,2026,11
Volkswagen,Crosspolo,10,80000,Manual,second,Diesel,425000,8000,2026,11
Maruti Suzuki,Wagon-R,10,84000,Manual,second,Petrol,265000,8400,2026,10
Volkswagen,Polo,3,18000,Automatic,first,Petrol,850000,6000,2026,11
Maruti Suzuki,Baleno,7,47000,Automatic,first,Petrol,575000,6714,2026,10
Volkswagen,Vento,13,168500,Manual,first,Diesel,425000,27750,2026,11
Maruti Suzuki,Alto-K10,13,82000,Manual,first,Petrol,180000,6308,2026,11
Maruti Suzuki,Celerio,9,35000,Automatic,first,Petrol,425000,3889,2026,11
Renault,Duster,9,150000,Automatic,second,Diesel,450000,16667,2026,11
Toyota,Fortuner,12,132000,Manual,first,Diesel,1095000,11000,2026,10
Land Rover,Range Rover Evoque,7,130000,Automatic,second,Petrol,2422500,18571,2026,11
Maruti Suzuki,Ertiga,4,59000,Automatic,first,Petrol,980000,14750,2026,11
Tata,Nexon,6,95000,Automatic,second,Petrol,575000,15833,2026,11
Tata,Indigo Ecs,8,115000,Manual,second,Diesel,110000,14375,2026,11
Mahindra,Thar,2,110000,Manual,first,Diesel,1675000,27750,2026,11
Toyota,Camry,9,68000,Automatic,second,Petrol,1185000,7556,2026,11
Skoda,Kushaq,3,74000,Automatic,first,Petrol,1199000,24667,2026,11
Maruti Suzuki,Ritz,12,88000,Manual,first,Petrol,385000,7333,2026,11
